#XList	YList	IList
-35.000000	-25.000000	0.173723
-34.000000	-25.000000	0.071250
-33.000000	-25.000000	-0.026250
-32.000000	-25.000000	-0.383625
-31.000000	-25.000000	0.093778
-30.000000	-25.000000	0.298444
-29.000000	-25.000000	0.123125
-28.000000	-25.000000	0.229333
-27.000000	-25.000000	0.565000
-26.000000	-25.000000	0.575125
-25.000000	-25.000000	0.669222
-24.000000	-25.000000	0.952222
-23.000000	-25.000000	0.786125
-22.000000	-25.000000	0.357667
-21.000000	-25.000000	0.340750
-20.000000	-25.000000	0.664800
-19.000000	-25.000000	0.581000
-18.000000	-25.000000	0.428778
-17.000000	-25.000000	0.682333
-16.000000	-25.000000	0.382750
-15.000000	-25.000000	0.476667
-14.000000	-25.000000	0.832444
-13.000000	-25.000000	0.614375
-12.000000	-25.000000	0.602333
-11.000000	-25.000000	0.514889
-10.000000	-25.000000	0.128875
-9.000000	-25.000000	0.231889
-8.000000	-25.000000	0.641750
-7.000000	-25.000000	0.556333
-6.000000	-25.000000	0.208222
-5.000000	-25.000000	-0.488375
-4.000000	-25.000000	-0.602556
-3.000000	-25.000000	0.385444
-2.000000	-25.000000	0.986250
-1.000000	-25.000000	1.116333
0.000000	-25.000000	1.510222
1.000000	-25.000000	1.031250
2.000000	-25.000000	1.061778
3.000000	-25.000000	1.502556
4.000000	-25.000000	1.820250
5.000000	-25.000000	1.778667
6.000000	-25.000000	1.690111
7.000000	-25.000000	0.982375
8.000000	-25.000000	0.754333
9.000000	-25.000000	1.481889
10.000000	-25.000000	1.982556
11.000000	-25.000000	2.061500
12.000000	-25.000000	2.100500
13.000000	-25.000000	2.093778
14.000000	-25.000000	1.954000
15.000000	-25.000000	2.307500
16.000000	-25.000000	2.225556
17.000000	-25.000000	1.964875
18.000000	-25.000000	1.791667
19.000000	-25.000000	1.000111
20.000000	-25.000000	0.973143
21.000000	-25.000000	1.544111
22.000000	-25.000000	1.596333
23.000000	-25.000000	1.189375
24.000000	-25.000000	1.074556
25.000000	-25.000000	1.119778
26.000000	-25.000000	1.035250
27.000000	-25.000000	1.284778
28.000000	-25.000000	0.244000
29.000000	-25.000000	-0.023444
30.000000	-25.000000	0.620556
31.000000	-25.000000	0.843875
32.000000	-25.000000	0.982667
33.000000	-25.000000	0.884556
34.000000	-25.000000	1.003875
35.000000	-25.000000	0.899333
-35.000000	-24.000000	-0.581085
-34.000000	-24.000000	-0.725571
-33.000000	-24.000000	-0.625889
-32.000000	-24.000000	-0.125875
-31.000000	-24.000000	0.027667
-30.000000	-24.000000	0.456000
-29.000000	-24.000000	0.433222
-28.000000	-24.000000	0.173667
-27.000000	-24.000000	0.563500
-26.000000	-24.000000	0.910000
-25.000000	-24.000000	0.658778
-24.000000	-24.000000	0.389625
-23.000000	-24.000000	0.138000
-22.000000	-24.000000	0.967750
-21.000000	-24.000000	1.209333
-20.000000	-24.000000	1.243889
-19.000000	-24.000000	1.011444
-18.000000	-24.000000	0.503000
-17.000000	-24.000000	0.724889
-16.000000	-24.000000	0.452333
-15.000000	-24.000000	0.307625
-14.000000	-24.000000	0.694556
-13.000000	-24.000000	0.685375
-12.000000	-24.000000	0.661556
-11.000000	-24.000000	0.394222
-10.000000	-24.000000	0.340750
-9.000000	-24.000000	0.170222
-8.000000	-24.000000	0.184889
-7.000000	-24.000000	0.159125
-6.000000	-24.000000	0.826333
-5.000000	-24.000000	0.875778
-4.000000	-24.000000	0.336000
-3.000000	-24.000000	-0.211889
-2.000000	-24.000000	-0.441889
-1.000000	-24.000000	0.018500
0.000000	-24.000000	0.356667
1.000000	-24.000000	1.128556
2.000000	-24.000000	1.070375
3.000000	-24.000000	1.184111
4.000000	-24.000000	0.744778
5.000000	-24.000000	0.579250
6.000000	-24.000000	0.514778
7.000000	-24.000000	0.765000
8.000000	-24.000000	0.830125
9.000000	-24.000000	0.851444
10.000000	-24.000000	1.172000
11.000000	-24.000000	0.855375
12.000000	-24.000000	1.265556
13.000000	-24.000000	1.595556
14.000000	-24.000000	1.746000
15.000000	-24.000000	1.933333
16.000000	-24.000000	2.152375
17.000000	-24.000000	1.584111
18.000000	-24.000000	2.145111
19.000000	-24.000000	1.958125
20.000000	-24.000000	2.168555
21.000000	-24.000000	2.132778
22.000000	-24.000000	1.344875
23.000000	-24.000000	1.481889
24.000000	-24.000000	1.402889
25.000000	-24.000000	1.286000
26.000000	-24.000000	1.045111
27.000000	-24.000000	0.855889
28.000000	-24.000000	0.630875
29.000000	-24.000000	0.369889
30.000000	-24.000000	0.144889
31.000000	-24.000000	0.824250
32.000000	-24.000000	1.612000
33.000000	-24.000000	1.747333
34.000000	-24.000000	1.524500
35.000000	-24.000000	1.042444
-35.000000	-23.000000	0.269298
-34.000000	-23.000000	0.349429
-33.000000	-23.000000	0.328125
-32.000000	-23.000000	0.623111
-31.000000	-23.000000	0.836667
-30.000000	-23.000000	0.619125
-29.000000	-23.000000	0.441889
-28.000000	-23.000000	0.178889
-27.000000	-23.000000	0.244125
-26.000000	-23.000000	0.579889
-25.000000	-23.000000	0.750778
-24.000000	-23.000000	1.198375
-23.000000	-23.000000	1.470556
-22.000000	-23.000000	0.879222
-21.000000	-23.000000	0.456000
-20.000000	-23.000000	0.366333
-19.000000	-23.000000	0.626778
-18.000000	-23.000000	1.093750
-17.000000	-23.000000	0.709222
-16.000000	-23.000000	0.246250
-15.000000	-23.000000	-0.138889
-14.000000	-23.000000	0.264000
-13.000000	-23.000000	0.679750
-12.000000	-23.000000	0.185667
-11.000000	-23.000000	0.686778
-10.000000	-23.000000	0.895500
-9.000000	-23.000000	0.428889
-8.000000	-23.000000	0.382000
-7.000000	-23.000000	-0.036125
-6.000000	-23.000000	-0.014778
-5.000000	-23.000000	0.164111
-4.000000	-23.000000	0.480625
-3.000000	-23.000000	0.467889
